Timestamp,Service,IP,Username,Password,Event
2026-05-29 07:31:23,SSH,,,,SSH Honeypot started on port 2222
2026-05-29 07:31:23,FTP,,,,FTP Honeypot started on port 2121
2026-05-29 07:31:23,HTTP,,,,HTTP Honeypot started on port 8080
2026-05-29 07:36:19,SSH,,,,SSH Honeypot started on port 2222
2026-05-29 07:36:19,FTP,,,,FTP Honeypot started on port 2121
2026-05-29 07:36:19,HTTP,,,,HTTP Honeypot started on port 8080
2026-05-29 07:37:56,SSH,,,,SSH Honeypot started on port 2222
2026-05-29 07:37:56,FTP,,,,FTP Honeypot started on port 2121
2026-05-29 07:37:56,HTTP,,,,HTTP Honeypot started on port 8080
2026-05-31 01:52:00,SSH,,,,SSH Honeypot started on port 2222
2026-05-31 01:52:00,FTP,,,,FTP Honeypot started on port 2121
2026-05-31 01:52:00,HTTP,,,,HTTP Honeypot started on port 8080
2026-05-31 01:54:36,FTP,127.0.0.1,,,NEW CONNECTION
2026-05-31 01:54:45,FTP,127.0.0.1,nigga,nigga123,LOGIN ATTEMPT
2026-05-31 01:55:19,SSH,127.0.0.1,,,NEW CONNECTION
2026-05-31 01:56:16,HTTP,127.0.0.1,,,NEW CONNECTION
2026-05-31 01:56:17,HTTP,127.0.0.1,,,NEW CONNECTION
2026-05-31 01:56:26,HTTP,127.0.0.1,,,NEW CONNECTION
2026-05-31 01:56:26,HTTP,127.0.0.1,mbhbhjkjc,wcwojckkl,LOGIN ATTEMPT
2026-05-31 02:02:37,FTP,,,,FTP Honeypot started on port 2121,
2026-05-31 02:02:37,HTTP,,,,HTTP Honeypot started on port 8080,
2026-05-31 02:02:37,SSH,,,,SSH Honeypot started on port 2222,
2026-05-31 02:02:44,SSH,127.0.0.1,,,NEW CONNECTION,Localhost
2026-05-31 02:02:47,FTP,127.0.0.1,,,NEW CONNECTION,Localhost
2026-05-31 02:02:50,FTP,127.0.0.1,dfger,ggg,LOGIN ATTEMPT,Localhost
2026-05-31 02:03:41,HTTP,127.0.0.1,,,NEW CONNECTION,Localhost
2026-05-31 02:03:45,HTTP,127.0.0.1,,,NEW CONNECTION,Localhost
2026-05-31 02:03:45,HTTP,127.0.0.1,wgwef,rgwf,LOGIN ATTEMPT,Localhost
2026-05-31 02:06:40,FTP,127.0.0.1,,,NEW CONNECTION,Localhost
2026-05-31 02:06:49,FTP,127.0.0.1,admin,admin123,LOGIN ATTEMPT,Localhost
2026-05-31 02:07:04,HTTP,127.0.0.1,,,NEW CONNECTION,Localhost
2026-05-31 02:07:18,HTTP,127.0.0.1,,,NEW CONNECTION,Localhost
2026-05-31 02:07:18,HTTP,127.0.0.1,admin,admin123,LOGIN ATTEMPT,Localhost
2026-05-31 02:21:20,SSH,,,,SSH Honeypot started on port 2222,
2026-05-31 02:21:20,FTP,,,,FTP Honeypot started on port 2121,
2026-05-31 02:21:20,HTTP,,,,HTTP Honeypot started on port 8080,
2026-05-31 02:21:22,SSH,127.0.0.1,,,NEW CONNECTION,Localhost
2026-05-31 02:21:28,HTTP,127.0.0.1,,,NEW CONNECTION,Localhost
2026-05-31 02:21:59,HTTP,127.0.0.1,,,NEW CONNECTION,Localhost
2026-05-31 02:21:59,HTTP,127.0.0.1,admin123,admin%5C,LOGIN ATTEMPT,Localhost
2026-05-31 02:25:06,SSH,127.0.0.1,,,NEW CONNECTION,Localhost
2026-05-31 02:25:10,SSH,127.0.0.1,root,admin,LOGIN ATTEMPT,Localhost
2026-05-31 02:25:13,SSH,127.0.0.1,admin123,,COMMAND,Localhost
2026-05-31 02:28:20,SSH,127.0.0.1,[C,,COMMAND,Localhost
2026-05-31 02:28:24,SSH,127.0.0.1,whoami,,COMMAND,Localhost
2026-05-31 02:28:27,SSH,127.0.0.1,ls,,COMMAND,Localhost
2026-05-31 02:28:45,SSH,127.0.0.1,pwd,,COMMAND,Localhost
2026-05-31 02:28:48,SSH,127.0.0.1,exit,,COMMAND,Localhost
2026-05-31 02:32:00,FTP,,,,FTP Honeypot started on port 2121,
2026-05-31 02:32:00,SSH,,,,SSH Honeypot started on port 2222,
2026-05-31 02:32:00,HTTP,,,,HTTP Honeypot started on port 8080,
2026-05-31 02:32:29,FTP,,,,FTP Honeypot started on port 2121,
2026-05-31 02:32:29,HTTP,,,,HTTP Honeypot started on port 8080,
2026-05-31 02:32:29,SSH,,,,SSH Honeypot started on port 2222,
2026-05-31 02:33:35,HTTP,,,,HTTP Honeypot started on port 8080,
2026-05-31 02:33:35,FTP,,,,FTP Honeypot started on port 2121,
2026-05-31 02:33:35,SSH,,,,SSH Honeypot started on port 2222,
2026-05-31 02:37:30,SSH,,,,SSH Honeypot started on port 2222,
2026-05-31 02:37:30,FTP,,,,FTP Honeypot started on port 2121,
2026-05-31 02:37:30,HTTP,,,,HTTP Honeypot started on port 8080,
2026-05-31 02:37:55,HTTP,127.0.0.1,,,NEW CONNECTION,Localhost
2026-05-31 02:37:55,HTTP,127.0.0.1,admin123,admin%5C,LOGIN ATTEMPT,Localhost
2026-05-31 02:38:03,HTTP,127.0.0.1,,,NEW CONNECTION,Localhost
2026-05-31 02:38:10,HTTP,127.0.0.1,,,NEW CONNECTION,Localhost
2026-05-31 02:38:10,HTTP,127.0.0.1,122345,ge5h,LOGIN ATTEMPT,Localhost
2026-05-31 02:38:36,SSH,127.0.0.1,,,NEW CONNECTION,Localhost
2026-05-31 02:38:42,SSH,127.0.0.1,,,NEW CONNECTION,Localhost
2026-05-31 02:39:35,SSH,,,,SSH Honeypot started on port 2222,
2026-05-31 02:39:35,FTP,,,,FTP Honeypot started on port 2121,
2026-05-31 02:39:35,HTTP,,,,HTTP Honeypot started on port 8080,
2026-05-31 02:44:44,SSH,,,,SSH Honeypot started on port 2222,
2026-05-31 02:44:44,FTP,,,,FTP Honeypot started on port 2121,
2026-05-31 02:44:44,HTTP,,,,HTTP Honeypot started on port 8080,
